event,latency
start_session,0.0022412999533116817
user_msg_0,0.0013652999768964946
user_msg_1,0.001915500033646822
user_msg_2,0.0018496999982744455
user_msg_3,0.0018399999826215208
user_msg_4,0.0004140000091865659
user_msg_5,0.0003990999539382756
user_msg_6,0.000658900011330843
user_msg_7,0.000666900014039129
user_msg_8,0.0006082999752834439
user_msg_9,0.00042399996891617775
user_msg_10,0.0006439000135287642
user_msg_11,0.0006525000208057463
user_msg_12,0.0006246999837458134
user_msg_13,0.0006166000384837389
user_msg_14,0.0005990999634377658
user_msg_15,0.000562800036277622
user_msg_16,0.0006163000361993909
user_msg_17,0.0006299000233411789
user_msg_18,0.0004007999668829143
user_msg_19,0.0005226999637670815
user_msg_20,0.0008146999753080308
user_msg_21,0.00041609996696934104
user_msg_22,0.0006563999922946095
user_msg_23,0.0006448000203818083
user_msg_24,0.0006707000429742038
user_msg_25,0.0006538000307045877
user_msg_26,0.00041559996316209435
user_msg_27,0.0006195000023581088
user_msg_28,0.0004143000114709139
user_msg_29,0.0006175999878905714
start_session,0.0021441999706439674
user_msg_0,0.001081799971871078
user_msg_1,0.001525100029539317
user_msg_2,0.000548900046851486
user_msg_3,0.0006184999947436154
user_msg_4,0.0003933999687433243
user_msg_5,0.0005946999881416559
user_msg_6,0.0003890000516548753
user_msg_7,0.0005036999937146902
user_msg_8,0.0005562000442296267
user_msg_9,0.0007134000188671052
user_msg_10,0.0007968999561853707
user_msg_11,0.0006755000213161111
user_msg_12,0.00040329998591914773
user_msg_13,0.000615699973423034
user_msg_14,0.0008570000063627958
user_msg_15,0.0003912000101990998
user_msg_16,0.0006720999954268336
user_msg_17,0.000444200006313622
user_msg_18,0.00040550000267103314
user_msg_19,0.0006022999878041446
user_msg_20,0.0007770000374875963
user_msg_21,0.0006757000228390098
user_msg_22,0.00045679998584091663
user_msg_23,0.0006678999634459615
user_msg_24,0.000658900011330843
user_msg_25,0.0006320999818854034
user_msg_26,0.0004017999744974077
user_msg_27,0.0003608999541029334
user_msg_28,0.0006182999932207167
user_msg_29,0.0006907999631948769
start_session,0.002362400002311915
user_msg_0,0.0028523000073619187
user_msg_1,0.0023692999966442585
user_msg_2,0.0017883999971672893
user_msg_3,0.00016259995754808187
user_msg_4,0.00016430002870038152
user_msg_5,0.0006763000274077058
user_msg_6,0.000526699994225055
user_msg_7,0.00022769998759031296
user_msg_8,0.00016900000628083944
user_msg_9,0.0005834000185132027
user_msg_10,0.0005786999827250838
user_msg_11,0.0004016000311821699
user_msg_12,0.000651500013191253
user_msg_13,0.0004267999902367592
user_msg_14,0.000617499987129122
user_msg_15,0.00041639996925368905
user_msg_16,0.0006129999528639019
user_msg_17,0.0005442000110633671
user_msg_18,0.0007105999975465238
user_msg_19,0.0006909999647177756
user_msg_20,0.0006166999810375273
user_msg_21,0.0003845000173896551
user_msg_22,0.00041280000004917383
user_msg_23,0.00040550000267103314
user_msg_24,0.0006895999540574849
user_msg_25,0.0006845999741926789
user_msg_26,0.0004931000294163823
user_msg_27,0.0006965999491512775
user_msg_28,0.0006648999988101423
user_msg_29,0.0004540000227279961
